codIBGE,municipio,ano,UF,expecvida,AmpT,Tmax,Tmin,homicidios,mortinf,acidtrans,renda_pc,indgini,razao_renda,IDHM,lnexpecvida,lnAmpT,lnTmax,lnTmin,lnrenda_pc,d1990,d2000,d2010,regiao
1302405,Lábrea,2010,AM,69.62,15.8,35.8,20,18.21,26.6,27.04,227.62,0.59,27.4,531,4.24305188238329,2.76000994003292,3.57794789340665,2.99573227355399,5.42767757185374,0,0,1,Norte
1302603,Manaus,1990,AM,65.87,10.9,33.7,22.8,0,43.21,23.73,537.29,0.56,17.78,776,4.1876831026526,2.3887627892351,3.51749783735832,3.1267605359604,6.28653798598518,1,0,0,Norte
1302603,Manaus,2000,AM,67.65,12.3,33.8,21.5,31.7,34.2,18.7,531.53,0.62,26.21,601,4.2143473546168,2.50959926237837,3.52046080248897,3.06805293513362,6.27575964021544,0,1,0,Norte
1302603,Manaus,2010,AM,74.54,11.8,35.3,23.5,46.09,14.24,19.15,790.27,0.61,22.86,737,4.31133589405111,2.46809953147162,3.56388296393925,3.15700042115011,6.67237465922217,0,0,1,Norte
1302702,Manicoré,1990,AM,62.29,NA,NA,22.9,0,53.94,NA,167.99,0.57,18.74,454,4.13180089926605,NA,NA,3.13113691056019,5.12390445382212,1,0,0,Norte
1302702,Manicoré,2000,AM,66.57,12.2,33.5,21.3,5.14,41.29,NA,140.08,0.6,25.94,398,4.19825402561261,2.50143595173921,3.51154543883102,3.05870707271538,4.9422136879776,0,1,0,Norte
1302702,Manicoré,2010,AM,69.83,14,35.2,21.2,12.51,26,4.33,295.23,0.6,25.81,582,4.24606371685794,2.63905732961526,3.56104608260405,3.05400118167797,5.687754713579,0,0,1,Norte
1303403,Parintins,1990,AM,63.19,NA,NA,NA,1.7,50.43,1.7,203.36,0.62,24.16,557,4.14614606078536,NA,NA,NA,5.31497780744114,1,0,0,Norte
1303403,Parintins,2000,AM,67.3,10.5,33.7,23.2,1.08,38.66,1.17,184.11,0.61,24.62,488,4.20916023665068,2.35137525716348,3.51749783735832,3.14415227867226,5.21553340506912,0,1,0,Norte
1303403,Parintins,2010,AM,72.97,10.8,35.3,24.5,9.61,17.7,5.53,313.07,0.59,23.7,658,4.29004839777753,2.37954613413017,3.56388296393925,3.19867311755068,5.74642680770849,0,0,1,Norte
1303809,São Gabriel da Cachoeira,1990,AM,61.72,10.2,32.4,22.2,4.32,50.9,4.32,237.56,0.63,24.88,552,4.12260802749496,2.32238772029023,3.47815842279828,3.10009228887823,5.47042022314766,1,0,0,Norte
1303809,São Gabriel da Cachoeira,2000,AM,68.6,12.4,33.5,21.1,6.53,34.2,21.28,213.37,0.77,NA,478,4.22829253473184,2.51769647261099,3.51154543883102,3.04927304048202,5.36302774791679,0,1,0,Norte
1303809,São Gabriel da Cachoeira,2010,AM,71.59,14.1,35.5,21.4,7.76,19.32,26.75,355.51,0.8,201.96,609,4.27095539940809,2.64617479738412,3.56953269648137,3.06339092202781,5.87355337824289,0,0,1,Norte
1304203,Tefé,1990,AM,64.58,NA,NA,NA,1.85,47.14,3.71,190.81,0.53,15.36,524,4.16790476533013,NA,NA,NA,5.25127816854225,1,0,0,Norte
1304203,Tefé,2000,AM,65.14,12.4,33.4,21,15.16,39.53,2.28,236.73,0.57,18.63,438,4.17653879984809,2.51769647261099,3.50855589998265,3.04452243772342,5.46692025120105,0,1,0,Norte
1304203,Tefé,2010,AM,73.04,12.2,35.1,22.9,14.36,17.5,15.26,421.41,0.62,25.33,639,4.29100723628671,2.50143595173921,3.55820113047182,3.13113691056019,6.04360623151093,0,0,1,Norte
1400209,Caracaraí,1990,RR,64.27,NA,NA,NA,0,45.43,22.47,309.85,0.61,25.11,626,4.16309295938319,NA,NA,NA,5.73608830940812,1,0,0,Norte
1400209,Caracaraí,2000,RR,66.87,15,35.3,20.3,27.25,31.64,20.43,322,0.59,23.64,521,4.20275043606589,2.70805020110221,3.56388296393925,3.01062088604774,5.77455154554441,0,1,0,Norte
1400209,Caracaraí,2010,RR,71.77,11.4,34.4,23,26.68,20.3,16,336.05,0.56,18.01,624,4.27346656144198,2.43361335540045,3.53805656437935,3.13549421592915,5.81725995841597,0,0,1,Norte
1500602,Altamira,1990,PA,62.29,NA,32.6,NA,0,52.54,8.29,276.44,0.59,22.73,584,4.13180089926605,NA,3.48431228837266,NA,5.62199379922319,1,0,0,Norte
1500602,Altamira,2000,PA,70.09,14.4,34.1,19.7,12.55,27.56,18.82,401.93,0.58,19.96,534,4.24978013051223,2.66722820658195,3.52929738428947,2.98061863574394,5.99627794410351,0,1,0,Norte
1500602,Altamira,2010,PA,73.64,13.4,36,22.6,63.08,17.27,38.44,492.05,0.56,18.36,665,4.29918835636488,2.59525470695687,3.58351893845611,3.11794990627824,6.19858033734499,0,0,1,Norte
1501451,Belterra,1990,PA,61.26,13.2,31.8,18.6,0,60.59,NA,126,0.52,14.95,NA,4.11512710140463,2.58021682959233,3.45946628978613,2.92316158071916,4.83628190695148,1,0,0,Norte
